age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
42,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
33,Private,10th,Separated,Sales,Unmarried,Female,United-States,<=50K
37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
26,Private,Some-college,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
29,Private,7th-8th,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
27,Local-gov,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
20,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Female,United-States,<=50K
62,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
72,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
32,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,Female,United-States,<=50K
36,Private,HS-grad,Never-married,Adm-clerical,Other-relative,Female,Nicaragua,<=50K
65,Private,Some-college,Widowed,Adm-clerical,Not-in-family,Female,United-States,<=50K
31,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,Female,United-States,<=50K
33,Private,HS-grad,Married-spouse-absent,Sales,Not-in-family,Male,United-States,<=50K
64,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
35,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
37,Private,Masters,Never-married,Exec-managerial,Not-in-family,Female,United-States,>50K
49,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
36,Private,Bachelors,Married-civ-spouse,Sales,Wife,Female,United-States,>50K
52,Local-gov,Masters,Never-married,Prof-specialty,Own-child,Female,United-States,<=50K
35,Private,Some-college,Divorced,Exec-managerial,Not-in-family,Female,United-States,<=50K
51,Self-emp-not-inc,Bachelors,Divorced,Sales,Unmarried,Female,United-States,<=50K
22,Private,Some-college,Never-married,Adm-clerical,Own-child,Male,United-States,<=50K
32,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
40,Private,Masters,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
39,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Male,United-States,<=50K
32,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
61,Private,9th,Divorced,Handlers-cleaners,Not-in-family,Male,Puerto-Rico,>50K
32,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
35,Private,11th,Separated,Craft-repair,Unmarried,Male,United-States,<=50K
46,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
51,Private,Bachelors,Divorced,Exec-managerial,Unmarried,Female,United-States,<=50K
17,Private,10th,Never-married,Other-service,Own-child,Male,United-States,<=50K
55,Private,HS-grad,Widowed,Adm-clerical,Other-relative,Female,United-States,<=50K
39,Private,Masters,Never-married,Prof-specialty,Not-in-family,Male,United-States,>50K
17,Private,11th,Never-married,Sales,Own-child,Female,United-States,<=50K
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
54,Private,Preschool,Married-civ-spouse,Craft-repair,Husband,Male,China,<=50K
19,Private,12th,Never-married,Transport-moving,Own-child,Male,United-States,<=50K
25,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
23,Private,9th,Never-married,Machine-op-inspct,Other-relative,Male,Mexico,<=50K
49,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Wife,Female,Hong,<=50K
25,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
38,Private,Bachelors,Married-spouse-absent,Transport-moving,Not-in-family,Male,India,<=50K
56,Federal-gov,Some-college,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
34,Private,Assoc-voc,Married-spouse-absent,Adm-clerical,Unmarried,Female,United-States,<=50K
61,Private,HS-grad,Divorced,Tech-support,Not-in-family,Female,United-States,<=50K
53,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,Male,Italy,<=50K
19,Private,11th,Never-married,Other-service,Other-relative,Female,United-States,<=50K
28,Private,HS-grad,Married-civ-spouse,Craft-repair,Own-child,Male,United-States,<=50K
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
41,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
33,State-gov,Some-college,Divorced,Other-service,Unmarried,Female,United-States,>50K
39,Private,Bachelors,Widowed,Prof-specialty,Unmarried,Female,Poland,>50K
39,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,<=50K
53,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,Male,United-States,>50K
35,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Female,United-States,>50K
48,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
51,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
32,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
41,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
47,State-gov,Some-college,Divorced,Prof-specialty,Unmarried,Male,United-States,<=50K
22,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
32,Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
24,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Male,United-States,<=50K
46,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
69,Private,HS-grad,Widowed,Adm-clerical,Unmarried,Female,United-States,<=50K
26,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
39,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
33,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,Male,Portugal,<=50K
42,Private,9th,Divorced,Craft-repair,Not-in-family,Male,United-States,<=50K
37,Self-emp-not-inc,Some-college,Separated,Other-service,Own-child,Female,Cuba,<=50K
30,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,>50K
57,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,Female,United-States,<=50K
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
51,Private,HS-grad,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
36,Private,HS-grad,Divorced,Transport-moving,Not-in-family,Male,United-States,<=50K
32,Private,5th-6th,Never-married,Other-service,Not-in-family,Male,Mexico,<=50K
20,Private,11th,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
55,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
32,Private,9th,Married-civ-spouse,Other-service,Husband,Male,El-Salvador,<=50K
30,Private,HS-grad,Separated,Craft-repair,Not-in-family,Male,United-States,<=50K
50,Private,5th-6th,Married-civ-spouse,Transport-moving,Husband,Male,Mexico,<=50K
52,Private,Bachelors,Divorced,Farming-fishing,Not-in-family,Male,United-States,<=50K
61,Self-emp-inc,Masters,Widowed,Exec-managerial,Unmarried,Female,United-States,<=50K
41,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
37,Private,HS-grad,Separated,Exec-managerial,Own-child,Male,United-States,<=50K
21,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,United-States,<=50K
28,Self-emp-not-inc,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
20,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
52,Federal-gov,Masters,Never-married,Adm-clerical,Not-in-family,Female,United-States,>50K
44,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
20,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,United-States,<=50K
49,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
37,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Female,United-States,>50K
60,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
30,Private,Masters,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
64,Private,Some-college,Divorced,Exec-managerial,Unmarried,Female,United-States,<=50K
47,Local-gov,HS-grad,Married-civ-spouse,Other-service,Other-relative,Male,United-States,<=50K
44,Private,Bachelors,Divorced,Adm-clerical,Unmarried,Female,United-States,<=50K
38,Private,11th,Married-spouse-absent,Transport-moving,Own-child,Male,Mexico,<=50K
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
29,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Female,United-States,<=50K
51,Private,Masters,Married-civ-spouse,Tech-support,Husband,Male,United-States,>50K
19,State-gov,Assoc-acdm,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
25,Private,Some-college,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
42,Private,HS-grad,Married-spouse-absent,Adm-clerical,Not-in-family,Male,United-States,<=50K
17,Private,11th,Never-married,Sales,Own-child,Male,United-States,<=50K
21,Self-emp-inc,Some-college,Never-married,Exec-managerial,Not-in-family,Male,United-States,<=50K
22,Private,Some-college,Never-married,Prof-specialty,Own-child,Female,United-States,<=50K
27,Private,Bachelors,Never-married,Protective-serv,Own-child,Female,United-States,<=50K
30,Private,Bachelors,Divorced,Sales,Not-in-family,Male,United-States,>50K
17,Private,10th,Never-married,Other-service,Own-child,Female,United-States,<=50K
21,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,Male,United-States,<=50K
36,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
54,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
36,Private,HS-grad,Divorced,Transport-moving,Not-in-family,Female,United-States,<=50K
55,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
39,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
41,Private,11th,Divorced,Protective-serv,Not-in-family,Female,United-States,<=50K
18,Private,11th,Never-married,Sales,Own-child,Male,United-States,<=50K
35,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
38,Private,Assoc-voc,Divorced,Exec-managerial,Not-in-family,Female,United-States,<=50K
20,Private,Some-college,Never-married,Transport-moving,Own-child,Female,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
39,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,<=50K
24,Private,Some-college,Never-married,Sales,Unmarried,Male,Mexico,<=50K
45,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,Male,United-States,<=50K
43,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
37,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
62,Private,Some-college,Divorced,Tech-support,Unmarried,Female,United-States,<=50K
37,Local-gov,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,Male,United-States,>50K
52,Private,HS-grad,Divorced,Transport-moving,Not-in-family,Male,United-States,<=50K
33,Private,HS-grad,Married-civ-spouse,Other-service,Wife,Female,El-Salvador,<=50K
38,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
32,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
34,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
52,Federal-gov,Prof-school,Married-civ-spouse,Armed-Forces,Husband,Male,United-States,>50K
21,Private,Some-college,Never-married,Tech-support,Own-child,Female,United-States,<=50K
33,Private,HS-grad,Never-married,Transport-moving,Not-in-family,Male,United-States,<=50K
19,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
52,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Female,United-States,<=50K
38,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
59,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
51,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
49,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
26,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
53,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
47,Self-emp-not-inc,Bachelors,Never-married,Craft-repair,Not-in-family,Female,United-States,<=50K
48,Private,Some-college,Widowed,Adm-clerical,Not-in-family,Female,United-States,<=50K
33,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
47,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
23,Private,HS-grad,Never-married,Transport-moving,Not-in-family,Male,United-States,<=50K
35,Private,HS-grad,Never-married,Sales,Unmarried,Female,United-States,<=50K
26,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
40,Self-emp-not-inc,Prof-school,Divorced,Other-service,Not-in-family,Female,United-States,<=50K
59,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
32,Self-emp-not-inc,Some-college,Separated,Farming-fishing,Unmarried,Female,United-States,<=50K
25,Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
31,Private,Some-college,Divorced,Exec-managerial,Not-in-family,Female,United-States,<=50K
36,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,Male,El-Salvador,<=50K
50,Private,1st-4th,Separated,Prof-specialty,Unmarried,Female,United-States,<=50K
29,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
32,Private,5th-6th,Married-civ-spouse,Craft-repair,Husband,Male,Mexico,>50K
30,Private,Some-college,Married-civ-spouse,Tech-support,Wife,Female,United-States,<=50K
34,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
38,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Female,United-States,>50K
19,Federal-gov,HS-grad,Never-married,Adm-clerical,Unmarried,Female,United-States,<=50K
58,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
59,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
34,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
69,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
21,Local-gov,Some-college,Never-married,Adm-clerical,Unmarried,Male,United-States,<=50K
50,Private,HS-grad,Married-spouse-absent,Exec-managerial,Not-in-family,Female,United-States,<=50K
43,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
54,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
24,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
52,State-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,England,<=50K
23,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
32,Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,Female,United-States,>50K
23,Private,Assoc-voc,Never-married,Tech-support,Not-in-family,Male,United-States,<=50K
44,Private,12th,Divorced,Machine-op-inspct,Unmarried,Female,United-States,<=50K
17,Private,10th,Never-married,Other-service,Own-child,Female,United-States,<=50K
37,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Wife,Female,United-States,<=50K
26,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
27,Private,HS-grad,Married-spouse-absent,Farming-fishing,Own-child,Female,Mexico,<=50K
34,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
55,Private,Some-college,Married-civ-spouse,Other-service,Husband,Male,United-States,>50K
52,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
36,Private,Bachelors,Divorced,Tech-support,Not-in-family,Female,United-States,<=50K
42,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
17,Private,10th,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
44,Private,Bachelors,Divorced,Other-service,Own-child,Female,United-States,<=50K
26,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
50,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,Male,Philippines,<=50K
37,Private,HS-grad,Separated,Craft-repair,Own-child,Male,United-States,<=50K
48,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Male,United-States,<=50K
18,Private,12th,Never-married,Other-service,Own-child,Male,United-States,<=50K
57,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
70,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
24,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
41,Private,HS-grad,Divorced,Priv-house-serv,Other-relative,Female,United-States,<=50K
22,Private,Assoc-voc,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
33,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
50,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
56,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
44,Private,5th-6th,Married-civ-spouse,Other-service,Husband,Male,Puerto-Rico,<=50K
41,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
51,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
34,Private,HS-grad,Separated,Sales,Unmarried,Female,United-States,<=50K
34,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
22,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
35,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Female,United-States,<=50K
23,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
27,Federal-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
32,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
36,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Male,United-States,>50K
37,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Male,United-States,<=50K
46,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
43,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
21,Private,Some-college,Never-married,Other-service,Own-child,Male,United-States,<=50K
38,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
21,Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,Mexico,<=50K
26,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,Male,England,<=50K
37,Private,HS-grad,Never-married,Other-service,Unmarried,Male,United-States,<=50K
42,Private,Some-college,Separated,Adm-clerical,Unmarried,Female,United-States,<=50K
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
29,Without-pay,Some-college,Married-civ-spouse,Farming-fishing,Own-child,Male,United-States,<=50K
58,Self-emp-not-inc,Doctorate,Married-AF-spouse,Exec-managerial,Wife,Female,United-States,>50K
19,Private,Some-college,Never-married,Machine-op-inspct,Own-child,Female,United-States,<=50K
22,Private,10th,Never-married,Other-service,Not-in-family,Male,Mexico,<=50K
40,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,Canada,>50K
27,Private,Some-college,Never-married,Other-service,Own-child,Male,United-States,<=50K
45,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
25,Private,7th-8th,Never-married,Machine-op-inspct,Unmarried,Male,El-Salvador,<=50K
20,Private,Some-college,Never-married,Sales,Not-in-family,Female,United-States,<=50K
45,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
20,Private,Some-college,Never-married,Sales,Not-in-family,Female,United-States,<=50K
31,Private,HS-grad,Separated,Handlers-cleaners,Not-in-family,Male,United-States,<=50K
35,Private,HS-grad,Separated,Transport-moving,Not-in-family,Male,United-States,<=50K
22,Private,Bachelors,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
38,Private,Masters,Never-married,Adm-clerical,Not-in-family,Female,Italy,>50K
60,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
49,Private,7th-8th,Never-married,Machine-op-inspct,Not-in-family,Male,Laos,<=50K
29,Private,Some-college,Married-civ-spouse,Tech-support,Wife,Female,United-States,<=50K
23,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
41,Private,HS-grad,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
76,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
20,State-gov,Some-college,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
34,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
33,Private,12th,Never-married,Sales,Own-child,Female,United-States,<=50K
28,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
27,Private,11th,Married-spouse-absent,Sales,Own-child,Male,India,<=50K
47,Private,HS-grad,Divorced,Other-service,Not-in-family,Female,United-States,<=50K
20,Private,Some-college,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
63,Private,HS-grad,Widowed,Other-service,Not-in-family,Female,United-States,<=50K
24,Private,Some-college,Never-married,Tech-support,Not-in-family,Female,United-States,<=50K
20,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,Male,Vietnam,<=50K
23,Private,7th-8th,Never-married,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
42,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
66,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
24,Private,Masters,Never-married,Tech-support,Not-in-family,Male,United-States,<=50K
38,Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
25,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Female,Philippines,<=50K
50,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
29,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
25,Private,Bachelors,Never-married,Farming-fishing,Own-child,Male,United-States,>50K
21,Private,Some-college,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
40,Private,Some-college,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
23,Federal-gov,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
21,Private,Assoc-acdm,Never-married,Other-service,Own-child,Female,United-States,<=50K
64,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
53,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
62,Self-emp-not-inc,HS-grad,Widowed,Adm-clerical,Other-relative,Female,United-States,<=50K
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
25,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
32,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
30,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
29,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,<=50K
32,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
25,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Male,United-States,<=50K
44,Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
